Chrom	Start	End	Bailey	C431	C99R	CC41	CC477	CC812	Florida07	GA12Y	GPNCWS17	Georganic	IAC322	ICG1471	Lariat	Marc1	NC94022	NMVal.1	NMVal.2	TifNV	York
chr06	65050000	65060000	4	0	0	4	4	2	0	0	0	0	0	5	4	0	4	0	0	0	4
chr06	65060000	65070000	5	0	0	5	5	2	0	0	0	0	0	5	5	0	5	0	0	0	5
chr06	65070000	65080000	6	0	0	6	6	3	0	0	0	0	0	6	6	0	6	0	0	0	6
chr06	65080000	65090000	2	0	0	2	2	1	0	0	0	0	0	2	2	0	2	0	0	0	2
chr06	65090000	65100000	6	0	0	6	6	2	0	0	0	0	0	6	6	0	6	0	0	0	6
chr06	65100000	65110000	8	0	0	8	8	1	0	0	0	0	0	7	8	0	8	0	0	0	8
chr06	65110000	65120000	4	0	0	4	4	1	0	0	0	0	0	3	4	0	4	0	0	0	4
chr06	65120000	65130000	3	1	0	3	3	3	0	1	0	0	0	3	3	1	3	0	0	0	3
chr06	65130000	65140000	1	0	0	1	1	1	0	0	0	0	0	1	1	0	1	0	0	0	1
chr06	65140000	65150000	4	0	0	4	4	0	0	0	0	0	0	4	4	0	4	0	0	0	4
chr06	65150000	65160000	3	0	0	3	3	2	0	0	2	0	2	3	3	0	3	0	0	0	3
chr06	65160000	65170000	3	2	1	3	3	3	1	2	2	2	2	4	3	2	3	2	0	2	3
chr06	65170000	65180000	6	0	0	6	6	17	0	0	0	0	0	6	6	0	6	0	0	0	6
chr06	65180000	65190000	5	0	0	5	5	11	0	0	0	0	0	7	5	0	5	0	0	0	5
chr06	65190000	65200000	3	0	0	3	3	4	0	0	0	0	0	3	3	0	3	0	0	0	3
chr06	65200000	65210000	6	1	1	6	6	1	1	1	1	1	1	6	6	1	6	1	0	1	6
chr06	65210000	65220000	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2
chr06	65220000	65230000	4	0	0	4	5	3	0	0	1	0	1	4	4	0	4	0	0	0	4
chr06	65230000	65240000	4	0	1	4	4	2	1	1	1	0	1	5	4	1	4	1	0	1	4
chr06	65240000	65250000	5	2	2	5	5	2	2	2	2	2	2	5	5	2	5	2	0	2	5
chr06	65250000	65260000	5	0	0	5	5	5	0	0	1	0	1	5	5	0	5	0	0	0	5
chr06	65260000	65270000	9	1	1	9	9	2	1	1	2	1	2	9	9	1	9	1	0	1	9
chr06	65270000	65280000	2	1	1	2	2	1	1	1	1	1	1	2	2	1	2	1	0	1	2
chr06	65280000	65290000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr06	65290000	65300000	3	0	0	3	3	0	0	0	0	0	0	3	3	0	3	0	0	0	3
chr06	65300000	65310000	2	0	0	2	2	2	0	0	0	0	0	2	2	0	2	0	0	0	2
chr06	65310000	65320000	3	1	0	4	3	3	1	0	0	0	0	5	3	1	3	1	0	0	4
chr06	65320000	65330000	2	0	0	2	2	1	0	0	0	0	0	2	2	0	2	0	0	0	2
chr06	65330000	65340000	1	0	0	1	1	2	0	0	0	0	0	1	1	0	1	0	0	0	1
chr06	65340000	65350000	3	0	0	3	3	2	0	0	0	0	0	4	3	0	4	0	0	0	3
chr06	65350000	65360000	6	0	0	6	6	1	0	0	1	0	1	6	6	0	6	0	0	0	6
chr06	65360000	65370000	4	0	0	4	5	1	0	0	0	0	0	4	4	0	4	0	0	0	4
chr06	65370000	65380000	3	0	1	3	3	2	1	0	1	0	1	3	3	0	3	1	0	1	3
chr06	65380000	65390000	3	0	0	3	3	1	0	0	0	0	0	3	4	0	3	0	0	0	3
chr06	65390000	65400000	3	0	0	3	3	0	0	0	0	0	0	3	3	0	3	0	0	0	3
chr06	65400000	65410000	4	0	0	4	5	2	0	0	1	0	2	4	4	0	4	0	0	0	4
chr06	65410000	65420000	2	0	0	2	3	1	0	0	0	0	0	2	2	0	2	0	0	0	2
chr06	65420000	65430000	52	48	48	52	53	47	48	48	48	48	48	51	52	48	52	48	0	48	52
chr06	65430000	65440000	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	0	230	230
chr06	65440000	65450000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr06	65450000	65460000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr06	65460000	65470000	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	0	45	45
chr06	65470000	65480000	884	883	883	884	884	883	883	883	883	883	883	884	884	883	884	883	0	883	884
chr06	65480000	65490000	932	932	932	932	932	932	932	932	932	932	932	932	932	932	932	932	0	932	932
chr06	65490000	65500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr06	65500000	65510000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr06	65510000	65520000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr06	65520000	65530000	484	484	484	484	484	484	484	484	484	484	484	484	484	484	484	484	0	484	484
chr06	65530000	65540000	123	122	122	123	123	123	122	122	122	122	122	123	123	122	123	122	0	122	123
chr06	65540000	65550000	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	0	7	7
chr06	65550000	65560000	4	2	2	4	4	7	2	2	2	2	2	4	4	2	4	2	0	2	4
chr06	65560000	65570000	4	0	0	4	4	2	0	0	0	0	0	4	4	0	4	0	0	0	4
chr06	65570000	65580000	3	0	0	3	3	1	0	0	0	0	0	3	3	0	3	0	0	0	3
chr06	65580000	65590000	3	0	0	3	3	2	0	0	0	0	0	3	3	0	4	0	0	0	3
chr06	65590000	65600000	8	0	0	8	6	3	0	0	0	0	0	6	8	0	8	0	0	0	8
chr06	65600000	65610000	1	0	0	1	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1
chr06	65610000	65620000	3	0	0	3	3	3	0	0	0	0	0	3	3	0	3	1	0	0	3
chr06	65620000	65630000	3	0	0	3	3	3	0	0	1	0	1	4	3	0	3	0	0	0	3
chr06	65630000	65640000	3	1	1	3	3	1	1	1	0	1	0	3	3	1	3	1	0	1	3
chr06	65640000	65650000	1	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1
chr06	65650000	65660000	1	0	0	1	1	0	0	0	1	0	1	2	1	0	1	0	0	0	1
chr06	65660000	65670000	2	0	0	2	2	1	0	0	1	0	1	2	2	0	2	0	0	0	2
chr06	65670000	65680000	5	0	0	5	5	3	0	0	0	0	0	5	5	0	5	0	0	0	5
chr06	65680000	65690000	3	0	0	3	3	1	0	0	0	0	0	3	3	0	3	0	0	0	3
chr06	65690000	65700000	2	0	0	2	2	1	0	0	0	0	0	2	2	0	2	0	0	0	2
chr06	65700000	65710000	3	0	0	3	1	4	0	0	0	0	0	1	3	0	3	0	0	0	1
chr06	65710000	65720000	4	0	0	4	3	3	0	0	0	0	0	3	3	0	3	0	0	0	3
chr06	65720000	65730000	5	0	0	5	5	2	0	0	0	0	0	5	5	0	5	0	0	0	5
chr06	65730000	65740000	9	0	0	9	9	1	0	0	0	0	1	10	9	0	9	0	0	0	8
chr06	65740000	65750000	8	0	0	8	8	2	0	0	0	0	0	7	9	0	8	0	0	0	8
chr06	65750000	65760000	2	0	0	2	2	1	0	0	0	0	0	2	2	0	2	0	0	0	2
chr06	65760000	65770000	7	0	0	7	7	1	0	0	1	0	1	7	7	0	7	0	0	0	7
chr06	65770000	65780000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr06	65780000	65790000	2	1	1	2	2	1	1	1	1	1	1	2	1	1	2	1	0	1	2
chr06	65790000	65800000	3	0	0	3	3	1	0	0	0	0	0	3	3	0	3	0	0	0	3
chr06	65800000	65810000	7	0	0	7	7	1	0	0	0	0	0	6	7	0	7	0	0	0	7
chr06	65810000	65820000	1	0	0	1	0	2	0	0	0	0	0	0	1	0	1	0	0	0	1
chr06	65820000	65830000	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
chr06	65830000	65840000	3	0	0	3	2	0	0	0	1	0	1	2	3	0	3	0	0	0	2
chr06	65840000	65850000	4	0	0	4	4	2	0	0	0	0	0	4	4	0	4	0	0	0	4
chr06	65850000	65860000	3	0	0	3	3	0	0	0	0	0	0	3	3	0	3	0	0	0	3
chr06	65860000	65870000	2	0	0	2	2	0	0	0	0	0	0	2	2	0	2	0	0	0	2
chr06	65870000	65880000	5	1	1	5	5	3	2	1	1	0	1	6	5	1	5	2	0	1	6
chr06	65880000	65890000	3	0	0	3	4	2	0	0	0	0	0	3	3	0	3	0	0	0	3
chr06	65890000	65900000	3	1	1	3	2	1	1	1	1	1	1	2	2	1	2	1	0	1	2
chr06	65900000	65910000	2	0	0	2	2	4	0	0	0	0	0	2	2	0	2	0	0	0	2
chr06	65910000	65920000	3	0	0	3	3	1	0	0	0	0	0	3	3	0	3	0	0	0	3
chr06	65920000	65930000	7	1	1	7	7	3	1	1	1	1	1	7	7	1	7	1	0	1	8
chr06	65930000	65940000	2	0	0	2	2	1	0	0	1	0	1	2	2	0	2	0	0	0	2
chr06	65940000	65950000	3	0	0	3	3	1	0	0	0	0	0	4	3	0	3	0	0	0	3
chr06	65950000	65960000	5	0	0	5	5	2	0	0	0	0	0	6	5	0	5	0	0	0	5
chr06	65960000	65970000	4	0	0	4	4	3	0	0	1	0	1	4	4	0	4	0	0	0	4
chr06	65970000	65980000	2	0	0	2	2	0	0	0	0	0	0	2	2	0	2	0	0	0	2
chr06	65980000	65990000	2	0	0	2	2	0	0	0	0	0	0	3	2	0	2	0	0	0	2
chr06	65990000	66000000	8	0	0	8	8	3	0	0	1	0	1	7	8	0	8	0	0	0	8
chr06	66000000	66010000	2	0	0	2	2	3	0	0	0	0	0	2	2	0	2	0	0	0	2
chr06	66010000	66020000	4	0	0	4	4	2	0	0	0	0	0	4	4	0	4	0	0	0	4
chr06	66020000	66030000	3	0	0	3	3	0	0	0	0	0	0	3	3	0	3	0	0	0	3
chr06	66030000	66040000	4	1	1	4	4	2	1	1	2	1	2	4	4	1	4	1	0	1	4
chr06	66040000	66050000	1	0	0	1	1	0	0	0	0	0	0	2	1	0	1	0	0	0	1
chr06	66050000	66060000	1	1	0	1	1	2	0	0	0	0	0	1	1	0	1	0	0	0	1
chr06	66060000	66070000	6	0	0	6	6	1	0	0	0	0	0	6	6	0	6	0	0	0	6
chr06	66070000	66080000	5	0	1	5	5	2	0	0	1	0	1	4	5	0	5	0	0	0	5
chr06	66080000	66090000	6	0	0	6	4	2	0	0	0	0	0	4	6	0	6	0	0	0	5
chr06	66090000	66100000	2	0	0	2	2	0	0	0	0	0	0	1	2	0	2	0	0	0	2
chr06	66100000	66110000	3	0	0	3	3	1	0	0	0	0	0	3	4	0	3	0	0	0	3
chr06	66110000	66120000	4	0	0	4	4	0	0	0	0	0	0	4	4	0	4	0	0	0	4
chr06	66120000	66130000	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
chr06	66130000	66140000	4	0	1	4	4	2	1	0	1	0	1	4	4	0	4	1	0	1	4
chr06	66140000	66150000	4	0	0	4	4	0	0	0	0	0	0	4	4	0	4	0	0	0	4
chr06	66150000	66160000	4	0	0	4	4	2	0	0	1	0	1	4	4	0	4	0	0	0	4
chr06	66160000	66170000	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
chr06	66170000	66180000	2	0	0	2	2	1	0	0	0	0	0	2	2	0	2	0	0	0	2
chr06	66180000	66190000	3	1	1	3	3	2	1	1	1	1	1	3	3	1	3	1	0	1	3
chr06	66190000	66200000	2	1	0	2	1	3	0	0	0	0	0	1	2	0	2	0	0	0	2
chr06	66200000	66210000	1	0	0	1	2	0	0	0	0	0	0	0	1	0	1	0	0	0	1
chr06	66210000	66220000	3	2	3	3	2	2	3	1	3	2	2	3	3	1	3	3	0	3	2
chr06	66220000	66230000	2	0	0	2	2	1	0	0	0	0	0	2	2	0	2	0	0	0	2
chr06	66230000	66240000	3	0	0	3	4	2	0	0	0	0	0	3	3	0	3	0	0	0	3
chr06	66240000	66250000	2	0	0	2	2	1	0	0	0	0	0	2	2	0	2	0	0	0	2
chr06	66250000	66260000	1	0	0	1	1	2	0	0	0	0	0	1	1	0	1	0	0	0	1
chr06	66260000	66270000	3	1	1	3	3	1	1	1	1	1	1	3	3	1	3	1	0	1	3
chr06	66270000	66280000	1	0	0	1	1	2	0	0	1	0	1	1	1	0	1	0	0	0	1
chr06	66280000	66290000	6	0	0	6	6	2	0	0	1	0	1	6	6	0	6	0	0	0	6
chr06	66290000	66300000	6	0	1	6	5	4	1	0	2	0	2	5	6	0	6	1	0	1	6
chr06	66300000	66310000	4	0	0	4	4	2	0	1	1	0	1	4	4	0	4	0	0	0	4
chr06	66310000	66320000	2	0	0	2	2	0	0	0	0	0	0	3	2	0	2	0	0	0	3
chr06	66320000	66330000	2	0	1	2	1	0	1	0	0	0	0	1	2	0	2	1	0	1	2
chr06	66330000	66340000	4	0	0	4	4	3	0	0	1	0	1	5	4	0	4	0	0	0	4
chr06	66340000	66350000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr06	66350000	66360000	127	126	126	127	127	127	126	126	126	126	126	128	127	126	127	126	0	126	127
chr06	66360000	66370000	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	0	82	82
chr06	66370000	66380000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr06	66380000	66390000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr06	66390000	66400000	15	7	7	15	15	7	7	7	7	7	7	16	15	7	15	7	0	7	15
chr06	66400000	66410000	3	0	0	3	3	3	0	0	0	0	0	3	3	0	3	0	0	0	3
chr06	66410000	66420000	3	0	0	3	4	2	0	0	0	0	0	3	3	0	3	0	0	0	3
chr06	66420000	66430000	4	1	1	4	4	2	1	1	2	1	2	5	4	1	4	1	0	1	4
chr06	66430000	66440000	6	0	0	6	6	3	0	0	8	0	8	6	6	0	6	0	0	0	6
chr06	66440000	66450000	3	0	0	3	3	2	0	0	1	0	1	3	3	0	3	0	0	0	3
chr06	66450000	66460000	1	0	0	1	1	3	0	0	0	0	0	1	1	0	1	0	0	0	1
chr06	66460000	66470000	4	0	0	4	4	1	0	0	0	0	0	4	4	0	4	0	0	0	4
chr06	66470000	66480000	2	0	0	2	1	0	0	0	0	0	0	1	2	0	2	0	0	0	2
chr06	66480000	66490000	8	1	1	8	8	4	1	1	2	1	2	8	8	1	8	1	0	1	8
chr06	66490000	66500000	3	0	0	3	3	4	0	0	0	0	0	3	3	0	5	0	0	0	3
chr06	66500000	66510000	3	1	1	3	3	4	1	1	2	1	2	3	3	1	3	1	0	1	3
chr06	66510000	66520000	4	0	0	4	4	2	0	0	1	0	1	5	4	0	4	0	0	0	4
chr06	66520000	66530000	6	0	0	6	6	0	0	0	1	0	1	7	6	0	6	0	0	0	6
chr06	66530000	66540000	2	0	0	2	2	1	0	0	0	0	0	2	2	0	2	0	0	0	2
chr06	66540000	66550000	5	1	1	5	5	2	1	1	1	1	1	5	5	1	5	1	0	1	5
chr06	66550000	66560000	76	73	73	76	76	74	73	73	73	73	73	76	76	73	76	73	0	73	76
chr06	66560000	66570000	4	0	0	4	4	0	0	0	0	0	0	4	4	0	4	0	0	0	4
chr06	66570000	66580000	1	0	0	2	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1
chr06	66580000	66590000	5	3	2	5	5	5	2	3	2	3	2	4	5	3	5	2	0	2	5
chr06	66590000	66600000	4	0	0	4	4	0	0	0	0	0	0	4	4	0	4	0	0	0	4
chr06	66600000	66610000	2	0	0	2	2	2	0	0	0	0	0	2	2	0	2	0	0	0	2
chr06	66610000	66620000	6	1	1	6	6	2	1	1	4	1	4	6	6	1	6	1	0	1	6
chr06	66620000	66630000	3	0	0	3	3	1	0	0	1	0	1	3	3	0	3	0	0	0	3
chr06	66630000	66640000	3	0	0	3	3	2	0	0	0	0	0	3	3	0	3	0	0	0	3
chr06	66640000	66650000	4	0	0	4	4	2	0	0	0	0	0	4	4	0	4	0	0	0	4
chr06	66650000	66660000	5	0	0	5	5	3	0	0	0	0	0	5	5	0	5	0	0	0	5
chr06	66660000	66670000	3	0	0	3	3	0	0	0	0	0	0	3	3	0	3	0	0	0	3
chr06	66670000	66680000	2	2	1	2	2	3	1	1	0	1	1	2	2	1	2	1	0	1	2
chr06	66680000	66690000	3	0	0	3	2	1	0	0	1	0	1	3	3	0	3	0	0	0	3
chr06	66690000	66700000	1	0	0	1	1	1	0	0	0	0	0	1	1	0	1	0	0	0	1
chr06	66700000	66710000	3	0	0	3	3	1	0	0	0	0	0	3	3	0	3	0	0	0	3
chr06	66710000	66720000	4	0	0	4	4	2	0	0	0	0	0	4	4	0	4	0	0	0	4
chr06	66720000	66730000	2	0	0	2	2	1	0	0	0	0	0	2	2	0	2	0	0	0	2
chr06	66730000	66740000	2	0	1	2	2	2	1	1	1	1	2	1	2	1	2	1	0	1	2
chr06	66740000	66750000	2	0	0	3	2	0	0	0	0	0	0	2	2	0	2	0	0	0	2
chr06	66750000	66760000	3	0	0	3	3	1	0	0	0	0	0	3	3	0	3	0	0	0	3
chr06	66760000	66770000	1	2	2	2	2	2	2	2	1	2	1	1	1	2	1	2	0	2	1
chr06	66770000	66780000	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
chr06	66780000	66790000	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
chr06	66790000	66800000	2	0	0	2	2	1	0	0	0	0	0	2	2	0	2	0	0	0	2
chr06	66800000	66810000	2	0	0	2	2	0	0	0	0	0	0	2	2	0	2	0	0	0	2
chr06	66810000	66820000	1	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1
chr06	66820000	66830000	1	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1
chr06	66830000	66840000	6	1	1	6	6	5	1	1	2	1	2	6	6	1	6	1	0	1	6
chr06	66840000	66850000	2	0	0	2	2	1	0	0	1	0	1	2	2	0	2	0	0	0	2
chr06	66850000	66860000	1	0	0	1	1	1	0	0	0	0	0	1	1	0	1	0	0	0	1
chr06	66860000	66870000	20	0	0	20	19	19	0	0	1	0	1	21	19	0	19	0	0	0	20
chr06	66870000	66880000	1	0	0	1	1	1	0	0	0	0	0	1	1	0	1	0	0	0	1
chr06	66880000	66890000	1	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1
chr06	66890000	66900000	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0
chr06	66900000	66910000	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
chr06	66910000	66920000	3	1	1	3	3	2	1	1	2	1	2	3	3	1	3	1	0	1	3
chr06	66920000	66930000	7	0	0	7	7	3	0	0	0	0	0	7	7	0	7	0	0	0	7
chr06	66930000	66940000	4	0	0	4	5	2	0	0	1	0	1	5	4	0	4	0	0	0	4
chr06	66940000	66950000	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
chr06	66950000	66960000	3	0	0	3	3	1	0	0	0	0	0	3	3	0	3	0	0	0	3
chr06	66960000	66970000	5	0	0	5	5	1	0	0	0	0	0	4	5	0	5	0	0	0	5
chr06	66970000	66980000	3	0	0	3	4	2	0	0	2	0	2	3	3	0	3	0	0	0	3
chr06	66980000	66990000	6	1	1	6	6	2	1	1	1	1	1	6	6	1	6	1	0	1	6
chr06	66990000	67000000	0	0	0	3	3	1	0	0	0	0	0	3	3	0	3	0	0	0	3
chr06	67000000	67010000	0	0	0	1	1	1	0	0	1	0	1	2	1	0	1	0	1	0	1
chr06	67010000	67020000	0	1	1	6	6	1	1	1	1	1	1	6	6	1	6	1	11	1	6
chr06	67020000	67030000	0	1	1	3	3	1	1	1	1	1	1	3	3	1	3	1	4	1	3
chr06	67030000	67040000	0	0	0	2	2	2	0	0	0	0	0	2	2	0	2	0	2	0	2
chr06	67040000	67050000	0	0	0	2	2	0	0	0	0	0	0	0	2	0	3	0	2	0	3
chr06	67050000	67060000	0	0	0	1	1	1	0	0	0	0	0	1	1	0	1	0	3	0	1
chr06	67060000	67070000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
chr06	67070000	67080000	0	0	0	1	2	0	0	0	0	0	0	1	1	0	1	0	1	0	1
chr06	67080000	67090000	0	2	2	5	5	2	2	2	2	2	2	5	5	2	5	2	5	2	5
chr06	67090000	67100000	0	0	0	6	6	2	0	0	0	0	0	6	6	0	6	0	8	0	6
chr06	67100000	67110000	0	0	0	4	4	1	0	0	1	0	1	4	4	0	4	0	4	0	4
chr06	67110000	67120000	0	0	0	3	3	0	0	0	0	0	0	3	3	0	3	0	3	0	3
chr06	67120000	67130000	0	1	1	2	2	1	1	1	1	1	1	2	2	1	2	1	3	1	2
chr06	67130000	67140000	0	1	1	2	2	2	1	1	1	1	1	2	2	1	2	1	3	1	2
chr06	67140000	67150000	0	0	0	2	2	0	0	0	0	0	0	2	2	0	2	0	2	0	2
chr06	67150000	67160000	0	1	0	3	3	2	1	1	1	1	1	3	3	1	3	0	4	1	3
chr06	67160000	67170000	0	0	0	7	7	0	0	0	0	0	0	8	7	0	7	0	6	0	8
chr06	67170000	67180000	0	0	0	2	2	1	0	0	0	0	0	2	2	0	2	0	3	0	2
chr06	67180000	67190000	0	0	0	4	4	2	0	0	0	0	0	4	4	0	4	0	8	0	4
chr06	67190000	67200000	4	0	0	4	4	0	0	0	0	0	0	3	3	0	3	0	4	0	3
chr06	67200000	67210000	7	0	0	7	7	2	0	0	0	0	0	9	7	0	7	0	6	0	7
chr06	67210000	67220000	1	0	0	1	1	3	0	0	1	0	1	1	1	0	1	0	2	0	1
chr06	67220000	67230000	3	0	0	3	3	1	0	0	0	0	0	3	3	0	3	0	5	0	3
chr06	67230000	67240000	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
chr06	67240000	67250000	10	0	0	10	10	1	0	0	0	0	0	10	10	0	11	0	4	0	10
chr06	67250000	67260000	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0
chr06	67260000	67270000	1	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	3	0	1
chr06	67270000	67280000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
chr06	67280000	67290000	4	1	1	4	3	3	1	1	1	1	1	3	4	1	5	1	4	1	3
chr06	67290000	67300000	2	0	0	2	1	2	0	0	1	0	1	1	2	0	2	0	4	0	1
chr06	67300000	67310000	3	1	0	3	3	0	0	0	1	1	1	3	3	0	3	0	3	0	3
chr06	67310000	67320000	3	0	0	3	3	1	0	0	0	0	0	4	3	0	3	0	4	0	3
chr06	67320000	67330000	4	0	0	4	4	1	0	0	2	0	2	4	4	0	4	0	4	0	4
chr06	67330000	67340000	28	23	23	28	28	25	23	23	23	23	23	27	29	23	28	23	27	23	28
chr06	67340000	67350000	28	25	25	28	28	27	25	25	25	25	25	28	28	25	28	25	29	25	28
chr06	67350000	67360000	5	2	2	5	5	5	2	2	2	2	2	6	5	2	5	2	4	2	5
chr06	67360000	67370000	5	1	2	5	5	8	2	1	2	1	2	6	5	1	5	2	7	2	5
chr06	67370000	67380000	3	1	1	3	3	1	1	1	1	1	1	3	3	1	3	1	3	1	3
chr06	67380000	67390000	80	80	80	80	80	81	80	80	80	80	80	81	80	80	80	80	80	80	80
chr06	67390000	67400000	188	186	186	188	188	187	186	186	186	186	186	189	188	186	188	186	189	186	188
chr06	67400000	67410000	8	3	3	8	8	4	3	3	3	3	3	8	8	3	8	3	8	3	8
chr06	67410000	67420000	5	2	2	4	3	3	3	2	2	2	2	4	4	2	4	2	6	2	4
chr06	67420000	67430000	2	0	0	2	2	0	0	0	0	0	0	2	2	0	2	0	2	0	2
chr06	67430000	67440000	4	0	0	4	4	0	0	0	1	0	0	5	4	0	4	0	4	0	5
chr06	67440000	67450000	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
chr06	67450000	67460000	2	0	0	2	2	0	0	0	0	0	0	2	2	0	2	0	1	0	2
chr06	67460000	67470000	1	0	0	1	1	1	0	0	0	0	0	1	1	0	1	0	1	0	2
chr06	67470000	67480000	3	0	0	3	3	2	0	0	0	0	0	3	3	0	3	0	6	0	3
chr06	67480000	67490000	5	0	0	5	5	3	0	0	1	0	1	5	5	0	5	0	4	0	5
chr06	67490000	67500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr06	67500000	67510000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr06	67510000	67520000	2	0	0	2	2	1	0	0	1	0	1	2	2	0	2	0	2	0	2
chr06	67520000	67530000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
chr06	67530000	67540000	2	0	0	2	2	0	0	0	0	0	0	2	2	0	2	0	4	0	2
chr06	67540000	67550000	4	0	0	4	3	3	0	1	0	0	0	3	4	1	4	0	3	0	4
chr06	67550000	67560000	1	0	0	1	1	0	0	0	0	0	0	1	1	0	1	1	2	0	1
chr06	67560000	67570000	8	2	2	8	8	8	2	2	1	2	1	8	8	2	8	2	9	2	8
chr06	67570000	67580000	1	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	2	0	1
chr06	67580000	67590000	2	0	0	2	2	1	0	0	0	0	0	2	2	0	2	0	1	0	2
chr06	67590000	67600000	4	0	0	4	4	2	0	0	0	0	0	4	5	0	4	0	3	0	4
chr06	67600000	67610000	2	0	0	2	2	1	0	0	0	0	0	2	2	0	2	0	4	0	2
chr06	67610000	67620000	9	1	1	9	9	3	1	1	1	1	1	9	9	1	9	1	5	1	9
chr06	67620000	67630000	2	0	0	2	2	0	0	0	0	0	0	2	2	0	2	0	1	0	2
chr06	67630000	67640000	2	0	0	2	2	1	0	0	0	0	0	2	2	0	2	0	2	0	2
chr06	67640000	67650000	2	0	0	2	2	1	0	0	0	0	0	2	2	0	2	0	4	0	2
chr06	67650000	67660000	5	1	1	5	5	3	1	1	1	1	1	5	5	1	5	1	4	1	5
chr06	67660000	67670000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
chr06	67670000	67680000	3	0	0	3	3	3	0	0	1	0	1	3	3	0	3	1	3	0	3
chr06	67680000	67690000	2	0	0	2	2	1	0	0	0	0	0	3	2	0	2	1	2	0	2
chr06	67690000	67700000	2	0	0	2	2	1	0	0	1	0	1	2	2	0	2	0	2	0	2
chr06	67700000	67710000	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0
chr06	67710000	67720000	0	2	2	0	1	0	1	2	3	2	3	3	0	2	1	3	2	2	2
chr06	67720000	67730000	2	0	0	2	2	0	0	0	0	0	0	2	2	0	2	0	1	0	2
chr06	67730000	67740000	2	0	0	2	2	2	0	0	1	0	1	2	2	0	2	0	5	0	2
chr06	67740000	67750000	6	1	0	6	6	2	0	1	1	1	1	5	6	1	6	0	4	1	6
chr06	67750000	67760000	2	3	2	4	3	3	3	3	3	3	4	5	5	3	4	3	3	1	2
chr06	67760000	67770000	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0
chr06	67770000	67780000	1	0	0	1	1	2	0	0	0	0	0	1	1	0	1	0	3	0	1
chr06	67780000	67790000	7	0	0	7	8	1	0	0	1	0	1	6	7	0	7	0	6	0	7
chr06	67790000	67800000	4	0	0	4	4	0	0	0	0	0	1	4	4	0	4	0	5	0	4
chr06	67800000	67810000	3	1	1	3	2	3	1	1	1	1	1	3	3	1	3	1	3	1	3
chr06	67810000	67820000	2	0	0	2	3	2	0	0	0	0	0	2	2	0	2	0	1	0	2
